year,At_pop,Be_pop,Dk_pop,Fr_pop,Ir_pop,It_pop,Lu_pop,Nl_pop,No_pop,Pt_pop,Es_pop,Se_pop,Ch_pop,UK_pop
2015-01-01,8584926.0,11237274.0,5659715.0,66458153.0,4677627.0,60795612.0,562958.0,16900726.0,5166493.0,10374822.0,46449565.0,9747355.0,8237666.0,64853393.0
2016-01-01,8700471.0,11311117.0,5707251.0,66638391.0,4726286.0,60665551.0,576249.0,16979120.0,5210721.0,10341330.0,46440099.0,9851017.0,8327126.0,65379044.0
2017-01-01,8772865.0,11351727.0,5748769.0,66809816.0,4784383.0,60589445.0,590667.0,17081507.0,5258317.0,10309573.0,46528024.0,9995153.0,8419550.0,65844142.0
2018-01-01,8822267.0,11398589.0,5781190.0,67026224.0,4830392.0,60483973.0,602005.0,17181084.0,5295619.0,10291027.0,46658447.0,10120242.0,8484130.0,66273576.0
2019-01-01,8858775.0,11455519.0,5806081.0,67177636.0,4904240.0,59816673.0,613894.0,17282163.0,5328212.0,10276617.0,46937060.0,10230185.0,8544527.0,66647112.0
2020-01-01,8901064.0,11522440.0,5822763.0,67320216.0,4964440.0,59641488.0,626108.0,17407585.0,5367580.0,10295909.0,47332614.0,10327589.0,8606033.0,67025542.0
